PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40052597,Supervised independence facilitated by the inspirational GP teacher.,2025-03-07,Jim Price,Department of Medical Education,
40052541,Impact of the COVID-19 pandemic on invasive pneumococcal disease in American Indian communities in the Southwest US.,2025-03-07,Charis Salabye,Tuba City Regional Health Care Corporation,
40052203,The Silent Epidemic: Unveiling Herpetic Uveitis in the Elderly.,2025-03-07,Koju Kamoi; Jing Zhang; Mingming Yang; Zou Yaru; Miki Miyagaki; Kyoko Ohno-Matsui,Graduate School of Medical and Dental Sciences,
40052164,COVID-19 among kidney transplant recipients: evaluating risk factors during the initial phase of the pandemic.,2025-03-07,Rino Bellocco,Department of Biostatistics,
40052057,Promoting inclusion in COVID-19 research for diverse Hispanic/Latino(x) populations: Recommendations from the RADx® Underserved Populations Hispanic/Latino/Latinx working group.,2025-03-07,Edna Acosta-Perez; Cristina Adames; Luis Carvajal-Carmona,Department of Biochemistry and Molecular Medicine; Medical Science Campus,
40052038,Nurses' Experiences at the Intensive Care Unit for COVID-19 in Indonesia: A Study of Hermeneutic Phenomenology.,2025-03-07,Fitri Mailani; Emil Huriani; Boby Febri Krisdianto; Elvi Oktarina,Medical-Surgical Department,
40052037,The Effect of an Educational Program Based on Behavioral Intention Model on Childbearing in Women During the Covid 19 Pandemic.,2025-03-07,Somayeh Seifi; Shahnaz Kohan; Zahra Boroumandfar,Isfahan University of Medical Sciences; Lorestan University of Medical Sciences,
40051856,"Effectiveness of mass vaccination for prevention of hospitalization, severe disease and death due to SARS-CoV-2 omicron Ba.2 variant; A case-population study.",2025-03-07,Sobhan Younesian; Ali Nikfarjam,Tehran University of Medical Sciences,
40051756,"A machine learning approach for diagnostic and prognostic predictions, key risk factors and interactions.",2025-03-07,Stephanie Carreiro,University of Massachusetts Medical School & UMass Memorial Healthcare,
40051670,The Prognostic Value of Circulating Cytokines and Complete Blood Count-Based Inflammatory Markers in COVID-19 Patients With Atrial Fibrillation.,2025-03-07,Giorgi Tcholadze; Ia Pantsulaia; Tinatin Chikovani,Tbilisi State Medical University,
40051620,Programmed cell death markers in COVID-19 survivors with and without sepsis.,2025-03-07,Srinivasa Ikswaja Chelluri; Charitha Madiraju,Department of Medical Sciences; Bharati Vidyapeeth Medical College,
40051591,Virtual Goals of Care Consultation for Advanced Frailty: a Qualitative Implementation Study Providing Insights from the Pandemic.,2025-03-07,Tanya MacLeod,Continuing Professional Development and Medical Education,
40051513,Spatiotemporal prevalence of COVID-19 and SARS-CoV-2 variants in Africa.,2025-03-07,Alie Brima Tia; Michael K Abdulai,Sierra Leone-China Friendship Biological Safety Laboratory,
40051465,Neuroimaging insights into lung disease-related brain changes: from structure to function.,2025-03-07,Miao He; Yubo Liu; Zhongtian Guan; Chunlin Li,School of Biomedical Engineering,
40051344,Enough is enough: Alcohol-related occupational violence and aggression in emergency departments in Australia and New Zealand.,2025-03-07,Drew B Richardson,Australian National University Medical School,
40051208,Engaging Parents of Children With Sickle Cell Disease in Shared Decision-Making for Hydroxyurea: The ENGAGE-HU Study.,2025-03-07,Steven K Reader,Sidney Kimmel Medical College,
40051042,"Decoding the molecular complexity of viruses in human cancer: insights into host cell infection, oncogenesis, and therapeutic prospects.",2025-03-07,Chinmay Das; Chanakya Nath Kundu,Cancer Biology Division,
40051040,Safety and efficacy of human umbilical cord-derived mesenchymal stem cells in COVID-19 patients: A real-world observation.,2025-03-07,Tao Yang; Tiantian Li; Zerui Wang; Ziying Zhang,Chinese PLA Medical School,
